ticker,S0,strike,expiry_years,call_price,put_price
MMM,157.8699951171875,157.8699951171875,0.25,7.249251285407517,5.3250146204989255
AOS,72.56999969482422,72.56999969482422,0.25,3.319311596834428,2.4646213672575965
ABT,133.72999572753906,133.72999572753906,0.25,6.150929406667846,4.470415222877446
ABBV,218.33999633789062,218.33999633789062,0.25,9.97651488171588,7.373206696323725
ACN,238.5399932861328,238.5399932861328,0.25,10.878956716253647,8.065463919393133
ADBE,349.3599853515625,349.3599853515625,0.25,16.354819786029474,12.274668357624996
AMD,158.57000732421875,158.57000732421875,0.25,7.519437325321767,5.506751856325256
AES,12.880000114440918,12.880000114440918,0.25,0.5847845693808549,0.4409665939823942
AFL,109.12999725341797,109.12999725341797,0.25,4.956003667915934,3.638933474479444
A,123.23999786376953,123.23999786376953,0.25,5.719743783424411,4.120957857570286
APD,292.82000732421875,292.82000732421875,0.25,13.659323775298402,9.99606442472283
ABNB,122.55000305175781,122.55000305175781,0.25,5.6395519044506095,4.11867967493411
AKAM,76.83999633789062,76.83999633789062,0.25,3.539395628256914,2.6683641188299574
ALB,75.9800033569336,75.9800033569336,0.25,3.532335552870769,2.6181609719078254
ARE,84.91999816894531,84.91999816894531,0.25,3.9412396127327085,2.7591807274756426
ALGN,131.55999755859375,131.55999755859375,0.25,6.070288251602528,4.452465419900964
ALLE,175.02000427246094,175.02000427246094,0.25,7.991531541304941,6.0469540216574496
LNT,64.86000061035156,64.86000061035156,0.25,3.0193337707945482,2.22223950897818
ALL,200.38999938964844,200.38999938964844,0.25,9.012383807446824,6.659662979007346
GOOGL,240.8000030517578,240.8000030517578,0.25,11.033363186541115,8.26598209227979
GOOG,241.3800048828125,241.3800048828125,0.25,10.981742442721862,8.215970734420337
MO,66.6500015258789,66.6500015258789,0.25,3.0597223491249954,2.2154142294981876
AMZN,228.14999389648438,228.14999389648438,0.25,10.57815743336543,7.905952480569769
AMCR,8.279999732971191,8.279999732971191,0.25,0.38156832802207513,0.2812359480417281
AEE,100.79000091552734,100.79000091552734,0.25,4.6197624449329755,3.4785569167633352
AEP,109.45999908447266,109.45999908447266,0.25,4.9300595806059535,3.572637220390379
AXP,325.30999755859375,325.30999755859375,0.25,15.23618453129957,10.792044657861924
AIG,78.93000030517578,78.93000030517578,0.25,3.6402733021530396,2.6548983056110136
AMT,195.0800018310547,195.0800018310547,0.25,9.080388875997926,6.520552878698925
AWK,139.27999877929688,139.27999877929688,0.25,6.225581707486802,4.753608366608202
AMP,497.0799865722656,497.0799865722656,0.25,22.79069662546331,16.421124888215548
AME,189.92999267578125,189.92999267578125,0.25,8.644225256787353,6.288803491622929
AMGN,276.3900146484375,276.3900146484375,0.25,12.518115060559985,9.273882838826182
APH,118.68000030517578,118.68000030517578,0.25,5.4637352822630465,3.955095649755319
ADI,245.2100067138672,245.2100067138672,0.25,11.472393421860446,8.415864216748018
AON,371.95001220703125,371.95001220703125,0.25,17.735251418997745,12.63118257428564
APA,22.84000015258789,22.84000015258789,0.25,1.0373477604708659,0.7663702804132417
APO,138.02999877929688,138.02999877929688,0.25,6.474697169863572,4.741467031447915
AAPL,234.07000732421875,234.07000732421875,0.25,10.653313570871852,8.079521755728688
AMAT,167.8000030517578,167.8000030517578,0.25,7.701171470048398,5.6576691792962475
APTV,82.79000091552734,82.79000091552734,0.25,3.7853528414847175,2.8063114964543834
ACGL,92.26000213623047,92.26000213623047,0.25,4.224431476882906,3.118582603799385
ADM,61.56999969482422,61.56999969482422,0.25,2.8642783376435315,2.087255215679064
ANET,139.38999938964844,139.38999938964844,0.25,6.408366606270566,4.671189190963505
AJG,297.2799987792969,297.2799987792969,0.25,13.571185505139756,9.8892850993802
AIZ,213.00999450683594,213.00999450683594,0.25,9.718583114239987,7.153338279912147
T,29.56999969482422,29.56999969482422,0.25,1.385888619668934,0.9999242504436244
ATO,166.5399932861328,166.5399932861328,0.25,7.625373442196725,5.649549169230384
ADSK,319.04998779296875,319.04998779296875,0.25,14.240563004974055,10.72869700796279
ADP,293.5,293.5,0.25,13.62304061113396,9.901020377621592
AZO,4322.14990234375,4322.14990234375,0.25,199.84753192937572,149.94126016651717
AVB,195.14999389648438,195.14999389648438,0.25,9.127568023521441,6.746929192870189
AVY,165.64999389648438,165.64999389648438,0.25,7.76239249192576,5.66812735247307
AXON,756.1300048828125,756.1300048828125,0.25,34.789823233134534,26.093541282535497
BKR,46.4900016784668,46.4900016784668,0.25,2.0854255786235147,1.5703105335779226
BALL,51.189998626708984,51.189998626708984,0.25,2.335218805507026,1.7561988681644833
BAC,50.58000183105469,50.58000183105469,0.25,2.3206248342259443,1.7099012731128296
BAX,23.989999771118164,23.989999771118164,0.25,1.1152584882951144,0.7997081913058801
BDX,186.83999633789062,186.83999633789062,0.25,8.515157879377309,6.5249328848741515
BRK.B,,,0.25,,
BBY,75.87000274658203,75.87000274658203,0.25,3.5045212447899203,2.5856004048242616
TECH,51.2599983215332,51.2599983215332,0.25,2.3843889097270714,1.7456398856798854
BIIB,144.86000061035156,144.86000061035156,0.25,6.661585069246044,4.965662586982266
BLK,1123.4100341796875,1123.4100341796875,0.25,51.94756896446756,39.10806641114377
BX,181.35000610351562,181.35000610351562,0.25,8.269922322563616,6.048937249431234
XYZ,72.87000274658203,72.87000274658203,0.25,3.38470635916984,2.4400030175009553
BK,106.4800033569336,106.4800033569336,0.25,4.929119176866092,3.6149176258990687
BA,215.94000244140625,215.94000244140625,0.25,9.972322873278602,7.343030347706354
BKNG,5458.31982421875,5458.31982421875,0.25,251.52095477596788,179.5739391234309
BSX,102.70999908447266,102.70999908447266,0.25,4.744090276451264,3.5017695969834888
BMY,46.20000076293945,46.20000076293945,0.25,2.162818420130477,1.5309682996088703
AVGO,359.8699951171875,359.8699951171875,0.25,16.486032420576766,12.214721545338291
BR,252.02999877929688,252.02999877929688,0.25,11.411645452155716,8.602243482959627
BRO,93.54000091552734,93.54000091552734,0.25,4.341873062248467,3.2038643166825596
BF.B,,,0.25,,
BLDR,142.72999572753906,142.72999572753906,0.25,6.460455474188396,4.666058304213722
BG,81.62000274658203,81.62000274658203,0.25,3.761627081926666,2.817746932572113
BXP,77.18000030517578,77.18000030517578,0.25,3.612211523618739,2.6180462692798896
CHRW,132.41000366210938,132.41000366210938,0.25,6.130131303509277,4.497377936870792
CDNS,343.4800109863281,343.4800109863281,0.25,15.964102580978732,11.04653175688587
CZR,25.09000015258789,25.09000015258789,0.25,1.1721056378124137,0.8340593906977936
CPT,109.51000213623047,109.51000213623047,0.25,5.009178222106444,3.797631899229434
CPB,33.22999954223633,33.22999954223633,0.25,1.5424266593752773,1.1186768933960478
COF,223.75999450683594,223.75999450683594,0.25,10.238387041134374,7.534861180128588
CAH,152.24000549316406,152.24000549316406,0.25,7.120832294776283,5.192488733116726
KMX,59.77000045776367,59.77000045776367,0.25,2.7022347513139775,1.9791624477592893
CCL,31.510000228881836,31.510000228881836,0.25,1.4328656217193534,1.0666551834758153
CARR,61.66999816894531,61.66999816894531,0.25,2.8428067855469736,2.0675293448511534
CAT,431.5199890136719,431.5199890136719,0.25,19.756916430328378,14.510054366018888
CBOE,234.2100067138672,234.2100067138672,0.25,10.860583394888945,7.819456880259568
CBRE,164.02000427246094,164.02000427246094,0.25,7.717389125946958,5.514912681816063
CDW,164.2899932861328,164.2899932861328,0.25,7.49770217531522,5.596212131896142
COR,302.5199890136719,302.5199890136719,0.25,13.924688929147248,10.388556070477087
CNC,33.2599983215332,33.2599983215332,0.25,1.5915534826803206,1.166299880882913
CNP,38.2400016784668,38.2400016784668,0.25,1.7369138183353738,1.299674003806384
CF,85.62999725341797,85.62999725341797,0.25,4.06909069604031,2.818242111140852
CRL,152.88999938964844,152.88999938964844,0.25,6.990727339053118,5.198104836902715
SCHW,93.54000091552734,93.54000091552734,0.25,4.2321297071031845,3.110316173650153
CHTR,263.3999938964844,263.3999938964844,0.25,12.411218831196758,8.616654014228738
CVX,157.11000061035156,157.11000061035156,0.25,7.341758350269351,5.27365635329166
CMG,38.630001068115234,38.630001068115234,0.25,1.7649658228658653,1.3024559540989542
CB,278.1099853515625,278.1099853515625,0.25,12.872434118548272,9.456006599825221
CHD,92.94000244140625,92.94000244140625,0.25,4.202929277018077,3.1115557821972035
CI,302.760009765625,302.760009765625,0.25,14.028215607513538,10.244962267048777
CINF,156.86000061035156,156.86000061035156,0.25,7.3656501531713525,5.23424800429529
CTAS,202.3699951171875,202.3699951171875,0.25,9.250567898473326,6.764097003985403
CSCO,66.52999877929688,66.52999877929688,0.25,3.043394829904195,2.231508158243502
C,99.44000244140625,99.44000244140625,0.25,4.534955796165493,3.337896691697979
CFG,51.81999969482422,51.81999969482422,0.25,2.4060601215865014,1.7629847846282447
CLX,123.51000213623047,123.51000213623047,0.25,5.63752128659966,4.05897010743765
CME,262.29998779296875,262.29998779296875,0.25,12.139626186771014,8.75709345676545
CMS,71.68000030517578,71.68000030517578,0.25,3.320220837700661,2.4292426731660437
KO,66.5,66.5,0.25,3.0601830017828764,2.2097172665630387
CTSH,69.16999816894531,69.16999816894531,0.25,3.2614203476395853,2.28785345967485
COIN,323.0400085449219,323.0400085449219,0.25,14.771941539541801,10.79762385252221
CL,83.27999877929688,83.27999877929688,0.25,3.792441360774744,2.8575137457179896
CMCSA,33.060001373291016,33.060001373291016,0.25,1.4787430181855832,1.0928444600048692
CAG,19.170000076293945,19.170000076293945,0.25,0.8806113124202398,0.6442399141700939
COP,92.43000030517578,92.43000030517578,0.25,4.314588449242564,3.2037942091745153
ED,97.55000305175781,97.55000305175781,0.25,4.527168486618819,3.269275523421117
STZ,139.49000549316406,139.49000549316406,0.25,6.456438602220819,4.73069322573605
CEG,323.4800109863281,323.4800109863281,0.25,14.836439774256915,11.06898779022648
COO,66.68000030517578,66.68000030517578,0.25,3.0846381971655656,2.246595104820955
CPRT,48.400001525878906,48.400001525878906,0.25,2.2443562233142362,1.5944719913238523
GLW,77.04000091552734,77.04000091552734,0.25,3.578864378645769,2.5929455459336825
CPAY,307.3599853515625,307.3599853515625,0.25,14.355706742544381,10.530656371437313
CTVA,74.29000091552734,74.29000091552734,0.25,3.4006974745659035,2.5145258120269935
CSGP,86.80000305175781,86.80000305175781,0.25,4.051107588491827,2.8946140768668425
COST,967.9000244140625,967.9000244140625,0.25,44.044586273536396,33.244451502406065
CTRA,24.360000610351562,24.360000610351562,0.25,1.0990313871963033,0.8147655573798356
CRWD,436.1000061035156,436.1000061035156,0.25,20.291876257537204,14.498257985798528
CCI,94.32699584960938,94.32699584960938,0.25,4.411712325969524,3.208955984945808
CSX,32.470001220703125,32.470001220703125,0.25,1.4853384689169618,1.1503537222326545
CMI,410.2699890136719,410.2699890136719,0.25,18.798675728660783,13.752925803487416
CVS,74.9800033569336,74.9800033569336,0.25,3.45217379671421,2.5543647604462434
DHR,190.0500030517578,190.0500030517578,0.25,9.02737096576958,6.814214149611762
DRI,212.61000061035156,212.61000061035156,0.25,9.843474266741001,7.281319030903761
DDOG,136.5,136.5,0.25,6.279199985057308,4.584123459551614
DVA,133.1699981689453,133.1699981689453,0.25,6.083236247289409,4.564264323748601
DAY,68.98999786376953,68.98999786376953,0.25,3.156873498616953,2.344845560199957
DECK,118.5,118.5,0.25,5.580724253730744,3.8771116288168415
DE,470.510009765625,470.510009765625,0.25,21.53503434106197,16.02191632269146
DELL,125.04000091552734,125.04000091552734,0.25,5.715520794926738,4.348201276419791
DAL,59.869998931884766,59.869998931884766,0.25,2.8147486484908195,2.028273770427681
DVN,34.77000045776367,34.77000045776367,0.25,1.584354832424866,1.183684985743125
DXCM,76.22000122070312,76.22000122070312,0.25,3.5726403069758534,2.58470873032844
FANG,136.8800048828125,136.8800048828125,0.25,6.1013234717944,4.673339205655264
DLR,173.5,173.5,0.25,8.057435804031979,5.879421054698445
DG,104.4000015258789,104.4000015258789,0.25,4.836127856471019,3.5705897460874993
DLTR,97.44999694824219,97.44999694824219,0.25,4.5130840565655195,3.2731836190490413
D,60.04999923706055,60.04999923706055,0.25,2.7542011836748186,2.0124812453829093
DPZ,450.3099670410156,450.3099670410156,0.25,20.798512249067237,14.837207538959218
DASH,257.9800109863281,257.9800109863281,0.25,11.748635404646258,8.470614354308069
DOV,172.97999572753906,172.97999572753906,0.25,8.226870250235873,5.790819812275409
DOW,25.040000915527344,25.040000915527344,0.25,1.1490059658177485,0.8486973701597479
DHI,177.8699951171875,177.8699951171875,0.25,8.17644150097058,6.009185763136429
DTE,135.75,135.75,0.25,6.36121884253646,4.508367174062815
DUK,121.94999694824219,121.94999694824219,0.25,5.623523915761669,4.03541832328909
DD,77.29000091552734,77.29000091552734,0.25,3.588318460615256,2.5718670279623472
EMN,66.33000183105469,66.33000183105469,0.25,3.0626923567149147,2.219759678323061
ETN,365.8999938964844,365.8999938964844,0.25,17.13608528658376,12.156355191326774
EBAY,90.80000305175781,90.80000305175781,0.25,4.174767281775046,3.032153266912585
ECL,272.6199951171875,272.6199951171875,0.25,12.697158886535238,9.213916639377805
EIX,56.20000076293945,56.20000076293945,0.25,2.617833314175504,1.9164972779749803
EW,77.56999969482422,77.56999969482422,0.25,3.554860567103426,2.5647371913158747
EA,172.3800048828125,172.3800048828125,0.25,7.960047345904982,5.743999673967256
ELV,311.760009765625,311.760009765625,0.25,14.464221909541026,10.612906138093683
EMR,135.10000610351562,135.10000610351562,0.25,6.0789472854105595,4.590686311172921
ENPH,37.630001068115234,37.630001068115234,0.25,1.7612183179378276,1.2565495948320926
ETR,90.29000091552734,90.29000091552734,0.25,4.235885631620497,3.0502870034647636
EOG,118.16000366210938,118.16000366210938,0.25,5.503166444636807,3.948170658905891
EPAM,156.08999633789062,156.08999633789062,0.25,6.907983219153121,5.275341263037456
EQT,50.939998626708984,50.939998626708984,0.25,2.3076446408255427,1.6854537676215733
EFX,256.25,256.25,0.25,11.860202530280002,8.726665211760379
EQIX,788.6099853515625,788.6099853515625,0.25,36.672404960644684,27.072428411380645
EQR,66.44000244140625,66.44000244140625,0.25,3.066881618066572,2.211446824372346
ERIE,338.6600036621094,338.6600036621094,0.25,15.667490936394463,11.290176202531457
ESS,267.0899963378906,267.0899963378906,0.25,12.36460173995904,9.08688835531795
EL,83.6500015258789,83.6500015258789,0.25,3.8488420757767483,2.776133819895035
EG,349.3699951171875,349.3699951171875,0.25,16.062043473921047,11.920101598824111
EVRG,72.5199966430664,72.5199966430664,0.25,3.4408060885602465,2.425301026253291
ES,65.69999694824219,65.69999694824219,0.25,3.0137004602259205,2.1797861091998114
EXC,43.380001068115234,43.380001068115234,0.25,1.9854548790968582,1.4607030342837932
EXE,96.22000122070312,96.22000122070312,0.25,4.593751242254678,3.220760285966623
EXPE,222.19000244140625,222.19000244140625,0.25,10.370208708230578,7.489938905099144
EXPD,123.51000213623047,123.51000213623047,0.25,5.660184634301038,4.1915783288981725
EXR,145.52999877929688,145.52999877929688,0.25,6.798154751977665,4.951849917920936
XOM,112.16000366210938,112.16000366210938,0.25,5.294453474731759,3.7676759916736455
FFIV,321.6700134277344,321.6700134277344,0.25,15.265288593719516,10.73706039537141
FDS,361.8399963378906,361.8399963378906,0.25,16.256290536957827,12.082790173490276
FICO,1544.050048828125,1544.050048828125,0.25,70.70837293802218,54.33362256557897
FAST,47.45000076293945,47.45000076293945,0.25,2.21010387467945,1.562367161672411
FRT,101.6500015258789,101.6500015258789,0.25,4.695217402197313,3.43891069480345
FDX,229.5500030517578,229.5500030517578,0.25,10.568076695519492,7.910064949424419
FIS,66.83999633789062,66.83999633789062,0.25,3.0551635226424687,2.255974342678572
FITB,45.560001373291016,45.560001373291016,0.25,2.139342062687241,1.5511464636848162
FSLR,201.6999969482422,201.6999969482422,0.25,9.397906722077535,6.786898323255473
FE,43.79999923706055,43.79999923706055,0.25,2.0163451172464737,1.4488613284218006
FI,134.32000732421875,134.32000732421875,0.25,6.21822140627202,4.499583642379926
F,11.680000305175781,11.680000305175781,0.25,0.5377993376529941,0.3948453061198102
FTNT,79.68000030517578,79.68000030517578,0.25,3.7034214236211285,2.7133096712831235
FTV,48.83000183105469,48.83000183105469,0.25,2.278296802685921,1.6418740627525021
FOXA,58.25,58.25,0.25,2.6784839367111104,1.9926228011765121
FOX,52.790000915527344,52.790000915527344,0.25,2.4644434643774225,1.7992722330920041
BEN,24.639999389648438,24.639999389648438,0.25,1.1389221208951148,0.8241760237102987
FCX,44.720001220703125,44.720001220703125,0.25,2.0209816296641367,1.4915925784604316
GRMN,238.0800018310547,238.0800018310547,0.25,11.181822891224398,7.932052392275647
IT,247.3300018310547,247.3300018310547,0.25,11.512127705210023,8.199713858759138
GE,281.69000244140625,281.69000244140625,0.25,13.329656859978158,9.747406098144962
GEHC,76.44000244140625,76.44000244140625,0.25,3.580082768036471,2.611630820940008
GEV,625.5499877929688,625.5499877929688,0.25,29.095447783660294,21.127214789752617
GEN,29.139999389648438,29.139999389648438,0.25,1.3282570596438177,0.9885758813705227
GNRC,184.38999938964844,184.38999938964844,0.25,8.498854707269604,6.0816117771172635
GD,326.1499938964844,326.1499938964844,0.25,14.888652141224604,11.123145831982054
GIS,49.91999816894531,49.91999816894531,0.25,2.2851832214673107,1.680370871357558
GM,58.5,58.5,0.25,2.6589401478514603,1.9307847826891404
GPC,141.27999877929688,141.27999877929688,0.25,6.6137892345073706,4.7314246206326755
GILD,114.55000305175781,114.55000305175781,0.25,5.324725804447953,3.8948821090643957
GPN,85.3499984741211,85.3499984741211,0.25,3.9399625667858875,2.9498336121606146
GL,142.27000427246094,142.27000427246094,0.25,6.6120823071254415,4.830294955138197
GDDY,145.08999633789062,145.08999633789062,0.25,6.61426182714239,4.925487317749007
GS,780.0599975585938,780.0599975585938,0.25,36.969128578744936,26.024535723574402
HAL,22.229999542236328,22.229999542236328,0.25,1.0071294065752014,0.7324758435269718
HIG,132.52000427246094,132.52000427246094,0.25,6.205995056094166,4.515631358657759
HAS,78.37999725341797,78.37999725341797,0.25,3.731090461518585,2.5761854788672376
HCA,405.1300048828125,405.1300048828125,0.25,19.211289110562728,13.487748162580887
DOC,18.079999923706055,18.079999923706055,0.25,0.8329940825963,0.6007299178362329
HSIC,69.01000213623047,69.01000213623047,0.25,3.198494863585276,2.3236908313047513
HSY,185.00999450683594,185.00999450683594,0.25,8.554888723754589,6.076264862245528
HPE,24.729999542236328,24.729999542236328,0.25,1.1424475890735106,0.8344439363827001
HLT,274.7300109863281,274.7300109863281,0.25,12.593685465131086,9.297244022367678
HOLX,64.44999694824219,64.44999694824219,0.25,2.8705644872233536,2.166861875056998
HD,422.69000244140625,422.69000244140625,0.25,19.37816404051771,14.41844512229065
HON,211.4600067138672,211.4600067138672,0.25,9.56967049168771,7.244174432356797
HRL,25.079999923706055,25.079999923706055,0.25,1.1505523554130315,0.8435827610719107
HST,17.600000381469727,17.600000381469727,0.25,0.8234746735460627,0.578818864493921
HWM,185.77000427246094,185.77000427246094,0.25,8.527319591707196,6.291259581826812
HPQ,27.969999313354492,27.969999313354492,0.25,1.2897801017158186,0.9570507668175018
HUBB,437.42999267578125,437.42999267578125,0.25,20.22076052228873,14.967510264144876
HUM,276.44000244140625,276.44000244140625,0.25,12.578856679878262,9.382234948610877
HBAN,17.770000457763672,17.770000457763672,0.25,0.8488398587296597,0.6040669081165313
HII,274.7099914550781,274.7099914550781,0.25,12.452752713347573,8.965966366754218
IBM,253.44000244140625,253.44000244140625,0.25,11.711404360984975,8.615473939963627
IEX,160.5500030517578,160.5500030517578,0.25,7.192042273117411,5.401005110833495
IDXX,641.1400146484375,641.1400146484375,0.25,30.575172780290355,21.038321063381716
ITW,263.3599853515625,263.3599853515625,0.25,12.114788518734484,8.653641873975953
INCY,83.0999984741211,83.0999984741211,0.25,3.8060682232910867,2.7954743383998752
IR,78.79000091552734,78.79000091552734,0.25,3.613952435633979,2.6985906321253816
PODD,341.7799987792969,341.7799987792969,0.25,15.378328939432281,11.655892442723086
INTC,24.079999923706055,24.079999923706055,0.25,1.0947617261862796,0.8272268074451896
IBKR,63.70000076293945,63.70000076293945,0.25,2.9252350114738954,2.20063207962233
